instance_key,uid,name,path,level,parent_uid
EMIS,uni9Kz6083g,"Abyenek Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/uORouhNAbq5/uni9Kz6083g,6,uORouhNAbq5
EMIS,T1kloR9lm9W,"Acaba Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/fJIbsMWIqvm/T1kloR9lm9W,6,fJIbsMWIqvm
EMIS,BRqdHspk6CF,"Acanga Parish",/KJPN4PduBWe/rn2uTdRyUbh/cSrCFjPKqcG/i11SZTLQap4/HcpAdZw6t1P/BRqdHspk6CF,6,HcpAdZw6t1P
EMIS,WsL5O5rqG01,"Acanpii(Dokolo Tc Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/oHnubudtkgX/WsL5O5rqG01,6,oHnubudtkgX
EMIS,JMWaLA3rHPR,"Acanpii(Loro Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/Pm9QCE8Tbaf/JMWaLA3rHPR,6,Pm9QCE8Tbaf
EMIS,mUTg8kHJLY3,"Acanpii(Ogwette Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/aXjub1BYn1y/uAmyexH3IpN/ZWNO5xzFUsZ/mUTg8kHJLY3,6,ZWNO5xzFUsZ
EMIS,fobHZhLxPD0,"Acede Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/tujGPMcrNlb/fobHZhLxPD0,6,tujGPMcrNlb
EMIS,sPuSuYMlvvF,"Acegerekuma Parish",/KJPN4PduBWe/rn2uTdRyUbh/mvN9LBbpf7X/xDMjY0z6k2n/oRcPLzsCoif/sPuSuYMlvvF,6,oRcPLzsCoif
EMIS,qdOKzEn9Bh3,"Acegeretolim Parish",/KJPN4PduBWe/uN4gXUciDZ8/mOXva2xiwQv/Q2ltWABsUfW/WKvQqnCWwOF/qdOKzEn9Bh3,6,WKvQqnCWwOF
EMIS,poWfA6agwyP,"Acelela Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/K48w2kQQvUA/poWfA6agwyP,6,K48w2kQQvUA
EMIS,ZDKnOd2mAPI,"Acenlworo Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/i7IJMXUFR20/ZDKnOd2mAPI,6,i7IJMXUFR20
EMIS,EIgjpB2EJ8O,"Aceno Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/jsnhoLUzhDg/EIgjpB2EJ8O,6,jsnhoLUzhDg
EMIS,vwIZVGDonfz,"Acetgwen Parish",/KJPN4PduBWe/rn2uTdRyUbh/srmGjHrpVE5/qOuUEzeHcEw/QGwLgiGGvDk/vwIZVGDonfz,6,QGwLgiGGvDk
EMIS,DtetQG213s7,"Achangali Parish",/KJPN4PduBWe/uN4gXUciDZ8/NREoMszwQZW/SyQ5EM0LXrU/R3gfJmmVEq6/DtetQG213s7,6,R3gfJmmVEq6
EMIS,fQr8zwoTdDK,"Achol-Pii Parish",/KJPN4PduBWe/yXncUmqtQYF/ztIyIYAzFKp/S2jpKJZLT9Q/mAI2njLcvwX/fQr8zwoTdDK,6,mAI2njLcvwX
